,Al0.5CoCrCuFeNiTi0.8,FCC+BCC+sigma,[64],5.8,-10.1,9.3,2.7,1.2,7.7,1.8,0.9,3.7
,Al0.5CoCrCuFeNiTi0.4,FCC+BCC,[64],5.1,-6.4,7.8,4.1,1.2,8,1.7,0.7,3.4
,Al0.5CoCrCuFeNiTi0.2,FCC,[64],4.6,-4.1,6.7,6.2,1.1,8.1,1.7,0.5,3.3
,AlCoCrCuFeNiTi,BCC+FCC+BCC,[60],6.3,-13.8,9.7,1.9,1.3,7.3,1.9,1,4.5
,Al0.75CoCrCu0.25FeNiTi0.5,BCC+BCC,[58],5.9,-14.4,8.6,1.8,3,7.3,1.9,0.8,4.4
,AlCoCrCu0.5FeNiTi,BMG,[67],6.4,-17.2,9.9,1.5,2.1,7,1.9,1,4.8
,AlCoCrCu0.25FeNiTi0.5,BCC+BCC,[68],6,-15.5,8.5,1.6,3.1,7.1,2,0.9,5
,AlCoCrCu0.5FeNiTi0.5,BCC+BCC,[68],5.9,-13.4,8.4,1.9,1.9,7.2,1.9,0.9,4.8
AlCoCrCuFeNiTiV,AlCoCrCuFeNiTiV,FCC+BCC,[69],5.9,-13.9,9.9,2.1,1.5,7,1.9,0.9,4.1
AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV2,FCC+BCC,[70],3.9,-7.1,8.1,3.9,1.5,7.4,1.8,0.6,2.3
,Al0.5CoCrCuFeNiV1.4,FCC+BCC,[70],4,-6.1,7.7,4.5,1.4,7.6,1.8,0.6,2.5
,Al0.5CoCrCuFeNiV1.6,FCC+BCC,[70],4,-6.5,7.9,4.3,1.4,7.5,1.8,0.6,2.5
,Al0.5CoCrCuFeNiV1.8,FCC+BCC,[70],3.9,-6.8,8,4.1,1.4,7.5,1.8,0.6,2.4
,Al0.5CoCrCuFeNiV1.2,FCC+BCC,[70],4,-5.7,7.5,4.8,1.3,7.7,1.8,0.6,2.6
,Al0.5CoCrCuFeNiV,FCC+BCC+sigma,[70],4,-5.3,7.3,5.3,1.3,7.8,1.8,0.6,2.7
,Al0.5CoCrCuFeNiV0.6,FCC+BCC+sigma,[70],3.9,-4.1,6.7,6.6,1.2,8,1.8,0.5,2.8
,Al0.5CoCrCuFeNiV0.8,FCC+BCC+sigma,[70],4,-4.7,7,5.8,1.2,7.9,1.8,0.5,2.7
,Al0.5CoCrCuFeNiV0.4,FCC+BCC,[70],3.9,-3.3,6.3,7.9,1.1,8.1,1.7,0.5,2.9
,Al0.5CoCrCuFeNiV0.2,FCC,[70],3.9,-2.5,5.9,10.3,1.1,8.2,1.7,0.5,3
,AlCoCrCuFeNiV,FCC+BCC,[60],4.7,-7.8,7.3,3.4,1.3,7.4,1.9,0.7,3.8
AlCoCrCuNi,AlCoCrCuNi,FCC+BCC,[65],5.3,-6.6,6.3,3.1,1,7.8,1.8,0.7,5.1
